Sample number,Monoisotopic mass,Intensity,RT_start,RT_finish
2,18395.395,2.38E+06,41.248,43.48
3,18395.381,1.51E+06,41.253,43.234
3,18379.378,4.63E+06,41.508,44.725
4,18379.371,3.52E+06,44.505,47.482
1,18379.367,3.74E+06,41.743,45.977
2,18378.38,2.68E+06,40.995,45.224
1,15951.83,2.01E+06,117.503,119.237
1,15709.699,4.44E+06,111.241,113.222
3,15649.528,1.61E+06,55.248,57.48
2,15649.52,5.41E+05,53.993,55.738
2,15484.696,1.85E+06,58.26,60.731
3,15483.698,6.20E+05,60.257,61.983
1,15443.541,5.43E+06,110.993,112.972
4,15425.373,2.33E+06,57.995,60.239
3,15425.371,3.48E+06,56.006,58.235
3,15293.056,2.41E+06,66.49,67.979
2,15293.05,2.47E+06,64.258,65.735
1,15177.384,4.93E+06,110.993,113.222
1,15151.371,1.00E+06,108.247,109.722
2,15142.582,1.74E+06,161.49,164.473
4,15142.581,1.58E+05,165.753,167.238
1,15142.575,3.84E+05,162.759,164.981
4,15127.581,1.99E+06,165.245,168.473
3,15127.58,1.03E+06,164.501,166.477
1,15127.569,1.28E+06,162.254,164.475
2,15126.598,3.80E+06,162.759,165.977
3,15126.592,1.50E+06,165.752,168.476
1,15126.581,3.80E+06,163.248,167.229
3,15125.938,4.24E+05,61.749,63.233
4,15112.576,9.66E+05,165.499,168.239
2,15112.571,2.55E+06,161.743,165.237
3,15112.57,1.05E+06,164.758,167.986
1,15112.563,1.86E+06,162.995,166.484
2,15111.359,2.98E+07,87.258,91.224
3,15084.898,1.21E+07,63.757,69.728
4,15084.897,3.05E+07,64.999,70.99
4,15068.908,1.03E+08,67.758,71.722
3,15068.906,1.25E+08,66.49,70.241
2,15068.905,8.51E+07,64.258,67.973
1,15068.903,2.98E+07,67.492,78.23
4,15052.889,3.04E+06,68.504,70.471
3,15052.888,3.58E+06,67.257,69.222
1,15050.561,6.45E+04,196.747,199.485
3,15050.557,5.51E+04,198.006,199.98
2,15050.555,2.27E+05,196,199.481
4,15023.854,1.99E+06,68.745,70.233
3,15023.831,1.98E+06,67.755,69.222
3,14996.849,1.16E+06,67.5,69.222
4,14988.97,4.15E+06,70.491,72.243
2,14988.969,3.86E+06,66.49,68.979
3,14988.965,1.61E+07,68.742,71.738
