,-100,-1,0,1,2,3,sum,ave
3,0,0,541000,0,0,0,541000,0
7,0,0,3800000,0,0,0,3800000,0
9,0,0,105000000,29800000,0,0,134800000,0.221068249
11,0,0,3860000,0,0,0,3860000,0
13,0,0,62300000,0,0,0,62300000,0
18,0,0,5590000,0,0,0,5590000,0
19,0,0,33400000,0,0,0,33400000,0
22,0,0,29000000,2960000,0,0,31960000,0.09261577
23,0,0,44700000,5780000,0,0,50480000,0.114500792
25,0,0,1520000,0,0,0,1520000,0
28,0,0,11600000,0,0,0,11600000,0
29,0,0,4730000,0,0,0,4730000,0
36,0,0,9850000,0,0,0,9850000,0
37,0,0,6360000,0,0,0,6360000,0
44,0,895000,5910000,0,0,0,6805000,-0.13152094
46,0,0,1900000,0,0,0,1900000,0
48,0,0,6100000,0,0,0,6100000,0
49,0,2720000,0,0,0,0,2720000,-1
50,0,1280000,14300000,0,0,0,15580000,-0.082156611
52,0,0,28100000,0,0,0,28100000,0
53,0,0,14400000,0,0,0,14400000,0
55,0,0,3240000,0,0,0,3240000,0
56,0,0,12000000,0,0,0,12000000,0
57,0,0,6760000,0,0,0,6760000,0
59,0,0,24700000,737000,0,0,25437000,0.028973542
60,0,0,63500000,5330000,0,0,68830000,0.077437164
61,0,0,91400000,15900000,0,0,107300000,0.148182665
64,0,0,5990000,0,0,0,5990000,0
65,0,0,57100000,2450000,0,0,59550000,0.041141898
66,0,0,46200000,0,0,0,46200000,0
67,0,0,13600000,0,0,0,13600000,0
72,0,0,123000000,552000,0,0,123552000,0.004467754
74,0,9340000,555000000,0,0,0,564340000,-0.016550307
77,0,8920000,415000000,0,0,0,423920000,-0.021041706
78,0,0,2010000,0,0,0,2010000,0
81,0,0,2240000,0,0,0,2240000,0
83,0,66300000,0,0,0,0,66300000,-1
84,0,0,52200000,0,0,0,52200000,0
85,0,0,11400000,0,0,0,11400000,0
86,0,0,38500000,0,0,0,38500000,0
89,0,0,2200000,0,0,0,2200000,0
92,0,0,0,1450000,3500000,2460000,7410000,2.136302294
93,0,0,2120000,0,0,0,2120000,0
95,0,0,15600000,19800000,0,0,35400000,0.559322034
98,0,0,3260000,0,0,0,3260000,0
100,0,0,1080000,0,0,0,1080000,0
105,0,0,33800000,0,0,0,33800000,0
106,0,0,63100000,0,0,0,63100000,0
109,0,0,2010000,0,0,0,2010000,0
110,0,0,12600000,0,0,0,12600000,0
111,0,0,4010000,0,0,0,4010000,0
112,0,0,0,18100000,0,0,18100000,1
113,0,0,0,9640000,0,0,9640000,1
114,0,0,41700000,60900000,1680000,0,104280000,0.616225547
120,0,0,32300000,0,0,0,32300000,0
122,0,625000,0,0,0,0,625000,-1
123,0,0,2910000,0,0,0,2910000,0
127,0,0,16400000,0,0,0,16400000,0
128,0,0,18700000,0,0,0,18700000,0
129,0,2640000,0,0,0,0,2640000,-1
130,0,0,72700000,8760000,0,0,81460000,0.107537442
133,0,2820000,0,0,0,0,2820000,-1
135,0,0,2170000,0,0,0,2170000,0
137,0,0,7670000,0,0,0,7670000,0
138,0,0,31900000,0,0,0,31900000,0
139,0,0,7630000,0,0,0,7630000,0
140,0,0,217000,15400,0,0,232400,0.06626506
143,0,0,191000,0,0,0,191000,0
145,0,0,8210000,0,0,0,8210000,0
153,0,0,30900000,0,0,0,30900000,0
156,0,0,979000,0,0,0,979000,0
157,0,0,1280000,0,0,0,1280000,0
159,0,0,245000,0,0,0,245000,0
160,0,0,7660000,0,0,0,7660000,0
161,0,0,11100000,0,0,0,11100000,0
184,0,0,1070000,0,0,0,1070000,0
193,0,0,35400000,0,0,0,35400000,0
196,0,0,628000,0,0,0,628000,0
198,0,0,387000,0,0,0,387000,0
200,0,0,20400000,0,0,0,20400000,0
201,0,0,3600000,0,0,0,3600000,0
203,0,0,519000,0,0,0,519000,0
206,0,0,2580000,0,0,0,2580000,0
207,0,0,2430000,0,0,0,2430000,0
208,0,0,3700000,0,0,0,3700000,0
210,0,0,3100000,0,0,0,3100000,0
212,0,0,596000,0,0,0,596000,0
213,0,0,1560000,0,0,0,1560000,0
216,0,0,918000,0,0,0,918000,0
230,0,0,5120000,0,0,0,5120000,0
233,0,0,1540000,0,0,0,1540000,0
235,0,0,9750000,0,0,0,9750000,0
237,0,0,3730000,0,0,0,3730000,0
240,0,0,12000000,0,0,0,12000000,0
245,0,0,3310000,0,0,0,3310000,0
246,0,0,13700000,0,0,0,13700000,0
248,0,0,881000,0,0,0,881000,0
249,0,0,2370000,0,0,0,2370000,0
253,0,0,6330000,0,0,0,6330000,0
256,0,0,3510000,0,0,0,3510000,0
258,0,0,609000,0,0,0,609000,0
264,0,0,8490000,0,0,0,8490000,0
267,0,0,5110000,0,0,0,5110000,0
269,0,0,14500000,0,0,0,14500000,0
277,0,0,10200000,0,0,0,10200000,0
8,0,0,2550000,0,0,0,2550000,0
194,0,0,27900000,0,0,0,27900000,0
